SKU;STOCK;TIMESTAMP
01000441004;153;2014-03-19 12:34:29
01000441005;127;2014-03-19 12:34:29
01000444201;43;2014-03-19 12:34:29
01000444202;99;2014-03-19 12:34:29
01000444203;107;2014-03-19 12:34:29
01000444204;298;2014-03-19 12:34:29
01000444205;121;2014-03-19 12:34:29
01000444501;118;2014-03-19 12:34:29
01000444502;100;2014-03-19 12:34:29
01000444503;157;2014-03-19 12:34:29
01000444504;75;2014-03-19 12:34:29
01000444505;98;2014-03-19 12:34:29
01000445001;402;2014-03-19 12:34:29
01000445002;631;2014-03-19 12:34:29
01000445003;661;2014-03-19 12:34:29
01000445004;302;2014-03-19 12:34:29
01000445005;518;2014-03-19 12:34:29
01000446001;250;2014-03-19 12:34:29
01000446002;109;2014-03-19 12:34:29
01000446003;189;2014-03-19 12:34:29
01000446004;96;2014-03-19 12:34:29
01000446005;121;2014-03-19 12:34:29
01000449001;86;2014-03-19 12:34:29
01000449002;83;2014-03-19 12:34:29
01000449003;56;2014-03-19 12:34:29
01000449004;84;2014-03-19 12:34:29
01000449005;58;2014-03-19 12:34:29
01000452001;329;2014-03-19 12:34:29
01000452002;338;2014-03-19 12:34:29
01000452003;350;2014-03-19 12:34:29
01000452004;322;2014-03-19 12:34:29
01000452005;147;2014-03-19 12:34:29
01000454001;264;2014-03-19 12:34:29
01000454002;533;2014-03-19 12:34:29
01000454003;263;2014-03-19 12:34:29
01000454004;356;2014-03-19 12:34:29
01000454005;175;2014-03-19 12:34:29
01000454801;114;2014-03-19 12:34:29
01000454802;88;2014-03-19 12:34:29
01000454803;96;2014-03-19 12:34:29
01000454804;101;2014-03-19 12:34:29
01000454805;131;2014-03-19 12:34:29
01000455501;243;2014-03-19 12:34:29
01000455502;120;2014-03-19 12:34:29
01000455503;119;2014-03-19 12:34:29
01000455504;96;2014-03-19 12:34:29
01000455505;46;2014-03-19 12:34:29
01000460001;592;2014-03-19 12:34:29
01000460002;614;2014-03-19 12:34:29
01000460003;767;2014-03-19 12:34:29
01000460004;588;2014-03-19 12:34:29
01000460005;171;2014-03-19 12:34:29
01000462001;712;2014-03-19 12:34:29
01000462002;1218;2014-03-19 12:34:29
01000462003;1327;2014-03-19 12:34:29
01000462004;965;2014-03-19 12:34:29
01000462005;410;2014-03-19 12:34:29
01000462013;150;2014-03-19 12:34:29
01000467001;388;2014-03-19 12:34:29
01000467002;785;2014-03-19 12:34:29
01000467003;863;2014-03-19 12:34:29
01000467004;444;2014-03-19 12:34:29
01000467005;175;2014-03-19 12:34:29
01000474801;95;2014-03-19 12:34:29
01000474802;103;2014-03-19 12:34:29
01000474803;103;2014-03-19 12:34:29
01000474804;122;2014-03-19 12:34:29
01000474805;45;2014-03-19 12:34:29
010004k0601;98;2014-03-19 12:34:29
010004k0602;99;2014-03-19 12:34:29
010004k0603;90;2014-03-19 12:34:29
010004k0604;91;2014-03-19 12:34:29
010004k0605;97;2014-03-19 12:34:29
010004k0701;65;2014-03-19 12:34:29
010004k0702;71;2014-03-19 12:34:29
010004k0703;41;2014-03-19 12:34:29
010004k0704;66;2014-03-19 12:34:29
010004k0705;71;2014-03-19 12:34:29
010004k0801;100;2014-03-19 12:34:29
010004k0802;97;2014-03-19 12:34:29
010004k0803;96;2014-03-19 12:34:29
010004k0804;93;2014-03-19 12:34:29
010004k0805;97;2014-03-19 12:34:29
01000500101;47;2014-03-19 12:34:29
01000500102;100;2014-03-19 12:34:29
01000500103;53;2014-03-19 12:34:29
01000500104;181;2014-03-19 12:34:29
01000500105;62;2014-03-19 12:34:29
01000500113;39;2014-03-19 12:34:29
01000500201;269;2014-03-19 12:34:29
01000500202;263;2014-03-19 12:34:29
01000500203;280;2014-03-19 12:34:29
01000500204;181;2014-03-19 12:34:29
01000500205;140;2014-03-19 12:34:29
01000500213;7;2014-03-19 12:34:29
01000500301;50;2014-03-19 12:34:29
01000500302;89;2014-03-19 12:34:29
01000500303;55;2014-03-19 12:34:29
01000500304;69;2014-03-19 12:34:29
01000500305;45;2014-03-19 12:34:29
01000500313;11;2014-03-19 12:34:29
01000514501;4;2014-03-19 12:34:29
01000514502;3;2014-03-19 12:34:29
01000514503;4;2014-03-19 12:34:29
01000514504;7;2014-03-19 12:34:29
01000514505;33;2014-03-19 12:34:29
01000537101;29;2014-03-19 12:34:29
01000537102;1;2014-03-19 12:34:29
01000537103;1;2014-03-19 12:34:29
01000537104;9;2014-03-19 12:34:29
01000537105;5;2014-03-19 12:34:29
01000537113;3;2014-03-19 12:34:29
01000545001;21;2014-03-19 12:34:29
01000545002;62;2014-03-19 12:34:29
01000545003;62;2014-03-19 12:34:29
01000545004;59;2014-03-19 12:34:29
01000545005;30;2014-03-19 12:34:29
01000562001;87;2014-03-19 12:34:29
01000562002;50;2014-03-19 12:34:29
01000562003;65;2014-03-19 12:34:29
01000562004;61;2014-03-19 12:34:29
01000562005;87;2014-03-19 12:34:29
01000567001;55;2014-03-19 12:34:29
01000567002;47;2014-03-19 12:34:29
01000567003;49;2014-03-19 12:34:29
01000567004;0;2014-03-19 12:34:29
01000567005;48;2014-03-19 12:34:29
01000600101;0;2014-03-19 12:34:29
01000600102;0;2014-03-19 12:34:29
01000600103;0;2014-03-19 12:34:29
01000600104;0;2014-03-19 12:34:29
01000600105;86;2014-03-19 12:34:29
01000600201;69;2014-03-19 12:34:29
01000600202;147;2014-03-19 12:34:29
01000600203;259;2014-03-19 12:34:29
01000600204;136;2014-03-19 12:34:29
01000600205;74;2014-03-19 12:34:29
01000600301;48;2014-03-19 12:34:29
01000600302;121;2014-03-19 12:34:29
01000600303;171;2014-03-19 12:34:29
01000600304;82;2014-03-19 12:34:29
01000600305;136;2014-03-19 12:34:29
01000600401;210;2014-03-19 12:34:29
01000600402;94;2014-03-19 12:34:29
01000600403;115;2014-03-19 12:34:29
01000600404;100;2014-03-19 12:34:29
01000600405;90;2014-03-19 12:34:29
01000645001;77;2014-03-19 12:34:29
01000645002;76;2014-03-19 12:34:29
01000645003;52;2014-03-19 12:34:29
01000645004;77;2014-03-19 12:34:29
01000645005;111;2014-03-19 12:34:29
01000662001;183;2014-03-19 12:34:29
01000662002;76;2014-03-19 12:34:29
01000662003;20;2014-03-19 12:34:29
01000662004;0;2014-03-19 12:34:29
01000662005;50;2014-03-19 12:34:29
01000667001;152;2014-03-19 12:34:29
01000667002;175;2014-03-19 12:34:29
01000667003;313;2014-03-19 12:34:29
01000667004;294;2014-03-19 12:34:29
01000667005;257;2014-03-19 12:34:29
01001000101;55;2014-03-19 12:34:29
01001000102;106;2014-03-19 12:34:29
01001000103;103;2014-03-19 12:34:29
01001000104;37;2014-03-19 12:34:29
01001000105;72;2014-03-19 12:34:29
01001000201;44;2014-03-19 12:34:29
01001000202;32;2014-03-19 12:34:29
01001000203;81;2014-03-19 12:34:29
01001000204;85;2014-03-19 12:34:29
01001000205;45;2014-03-19 12:34:29
01001000301;5;2014-03-19 12:34:29
01001000302;9;2014-03-19 12:34:29
01001000303;44;2014-03-19 12:34:29
01001000304;43;2014-03-19 12:34:29
01001000305;10;2014-03-19 12:34:29
01001000401;45;2014-03-19 12:34:29
01001000402;28;2014-03-19 12:34:29
01001000403;18;2014-03-19 12:34:29
01001000404;27;2014-03-19 12:34:29
01001000405;17;2014-03-19 12:34:29
01001015001;18;2014-03-19 12:34:29
01001015002;6;2014-03-19 12:34:29
01001015003;53;2014-03-19 12:34:29
01001015004;5;2014-03-19 12:34:29
01001015005;32;2014-03-19 12:34:29
01001023001;16;2014-03-19 12:34:29
01001023002;54;2014-03-19 12:34:29
01001023003;12;2014-03-19 12:34:29
01001023004;35;2014-03-19 12:34:29
01001023005;40;2014-03-19 12:34:29
01001031101;56;2014-03-19 12:34:29
01001031102;7;2014-03-19 12:34:29
01001031103;45;2014-03-19 12:34:29
01001031104;29;2014-03-19 12:34:29
01001031105;46;2014-03-19 12:34:29
01001035001;11;2014-03-19 12:34:29
01001035002;48;2014-03-19 12:34:29
01001035003;80;2014-03-19 12:34:29
01001035004;14;2014-03-19 12:34:29
01001035005;54;2014-03-19 12:34:29
01001037101;0;2014-03-19 12:34:29
01001037102;3;2014-03-19 12:34:29
01001037103;9;2014-03-19 12:34:29
01001037104;8;2014-03-19 12:34:29
01001037105;8;2014-03-19 12:34:29
01001044101;76;2014-03-19 12:34:29
01001044102;60;2014-03-19 12:34:29
01001044103;70;2014-03-19 12:34:29
01001044104;92;2014-03-19 12:34:29
01001044105;47;2014-03-19 12:34:29
01001044201;37;2014-03-19 12:34:29
01001044202;4;2014-03-19 12:34:29
01001044203;5;2014-03-19 12:34:29
01001044204;9;2014-03-19 12:34:29
01001044205;3;2014-03-19 12:34:29
01001044501;5;2014-03-19 12:34:29
01001044502;6;2014-03-19 12:34:29
01001044503;13;2014-03-19 12:34:29
